experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 1378.580317025369, 1484.6159747139923, 1511.124889136148, 1599.6283323880189, 1422.6214458842774, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 1443.519729916646, 1505.6469408168068, 1511.124889136148, 1658.2819276511593, 1363.967850621137, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 1414.2491839484767, 1487.3673894431408, 1511.124889136148, 1658.4075548423423, 1363.842223429954, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 1364.4640522510763, 1462.7867220047278, 1511.124889136148, 1658.4879000400094, 1363.7618782322868, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 1600.4705117039637, 1490.323479944575, 1511.124889136148, 1658.5392979852634, 1363.7104802870329, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 1509.1011388879715, 1494.0790117332542, 1511.124889136148, 1658.5721832676138, 1363.6775950046824, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 1642.5878423452382, 1523.7807778556512, 1511.124889136148, 1658.5932259997587, 1363.6565522725375, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 1577.9256313563164, 1534.6097485557843, 1511.124889136148, 1658.6066917726819, 1363.6430864996144, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 1731.743383588785, 1574.0364755623846, 1511.124889136148, 1658.6153092221552, 1363.634469050141, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 1558.6119485561396, 1570.9515701611358, 1511.124889136148, 1658.620824125595, 1363.6289541467013, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 1588.987547143852, 1574.5587655576792, 1511.124889136148, 1658.6243535555832, 1363.625424716713, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 1451.8576541048017, 1550.0185432671037, 1511.124889136148, 1658.6266123464552, 1363.623165925841, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 1450.2640463237828, 1530.0676438784396, 1511.124889136148, 1658.6280579544605, 1363.6217203178358, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 1490.9531458327751, 1522.2447442693067, 1511.124889136148, 1658.6289831361487, 1363.6207951361475, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 1377.0962729091568, 1493.2150499972768, 1511.124889136148, 1658.6295752493836, 1363.6202030229126, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 1582.1587912262132, 1511.0037982430642, 1511.124889136148, 1658.6299542006068, 1363.6198240716894, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 1699.2305322997722, 1548.6491450544058, 1511.124889136148, 1658.6301967288787, 1363.6195815434176, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 1763.691714067494, 1591.6576588570235, 1511.124889136148, 1658.6303519467633, 1363.619426325533, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 1666.3771907652022, 1606.6015652386595, 1511.124889136148, 1658.6304512861238, 1363.6193269861724, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 1558.7810799041029, 1495.8101399362636, 1480.0674049443037, 1536.3901638422783, 1423.744646046329, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 1450.9161135345244, 1486.8313346559157, 1480.0674049443037, 1552.1957294680453, 1407.939080420562, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 1332.019584650698, 1455.8689846548723, 1480.0674049443037, 1560.7014554253801, 1399.4333544632273, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 1544.9978604217308, 1473.694759808244, 1480.0674049443037, 1565.7028954371458, 1394.4319144514616, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 1616.0616436907237, 1502.16813658474, 1480.0674049443037, 1568.7559216661834, 1391.378888222424, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 1597.6952054716585, 1521.2735503621238, 1480.0674049443037, 1570.655876003312, 1389.4789338852954, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 1368.5509096244657, 1490.729022214592, 1480.0674049443037, 1571.8512088898638, 1388.2836009987436, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0037, 2025-11-23 16:30, , 37, 1532.5742267765527, 1499.0980631269842, 1480.0674049443037, 1572.6081194248948, 1387.5266904637126, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0038, 2025-12-06 15:30, , 38, 1399.696654291064, 1479.2177813598003, 1480.0674049443037, 1573.0893100274047, 1387.0454998612026, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0039, 2025-12-16 10:30, , 39, 1440.0736841790092, 1471.388961923642, 1480.0674049443037, 1573.395970014515, 1386.7388398740925, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0040, 2025-12-20 11:30, , 40, 1337.5453017260702, 1444.6202298841276, 1480.0674049443037, 1573.5917047120151, 1386.5431051765922, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0041, 2025-12-22 13:30, , 41, 1703.7687969554552, 1496.4499432983932, 1480.0674049443037, 1573.7167602223058, 1386.4180496663016, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0042, 2026-01-04 11:30, , 42, 1707.6068419164717, 1538.681323022009, 1480.0674049443037, 1573.796708185233, 1386.3381017033744, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0043, 2026-01-05 12:30, , 43, 1616.4470429490457, 1554.2344670074167, 1480.0674049443037, 1573.8478391133704, 1386.286970775237, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0044, 2026-01-06 15:30, , 44, 1437.4030335817206, 1530.8681803222776, 1480.0674049443037, 1573.880548282325, 1386.2542616062824, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0045, 2026-01-13 11:30, , 45, 1406.7494116517998, 1506.0444265881822, 1480.0674049443037, 1573.901476166722, 1386.2333337218854, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0046, 2026-01-16 12:30, , 46, 1527.3654482116547, 1510.3086309128767, 1480.0674049443037, 1573.914867563549, 1386.2199423250584, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0047, 2026-02-10 14:30, , 47, 1381.398505332749, 1484.526605796851, 1480.0674049443037, 1573.92343705479, 1386.2113728338174, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0048, 2026-02-16 13:30, , 48, 1307.7766932546378, 1449.1766232884083, 1480.0674049443037, 1573.9289211185865, 1386.205888770021, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0049, 2026-02-23 13:30, , 49, 1333.9200607619396, 1426.1253107831146, 1480.0674049443037, 1573.9324307512668, 1386.2023791373406, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0050, 2026-03-13 16:30, , 50, 1479.0275353193538, 1436.7057556903624, 1480.0674049443037, 1573.9346768473167, 1386.2001330412907, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0051, 2026-03-16 12:30, , 51, 1430.0535678844042, 1435.3753181291706, 1480.0674049443037, 1573.9361143205833, 1386.198695568024, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0052, 2026-03-16 16:30, , 52, 1460.8921425861226, 1440.4786830205612, 1480.0674049443037, 1573.9370342919217, 1386.1977755966857, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0053, 2026-03-29 13:30, , 53, 1578.9758706687714, 1468.1781205502032, 1480.0674049443037, 1573.9376230688467, 1386.1971868197606, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0054, 2026-04-09 11:30, , 54, 1452.5918983506754, 1465.0608761102976, 1480.0674049443037, 1573.9379998841405, 1386.196810004467, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0055, 2026-04-18 16:30, , 55, 1502.2256968982094, 1472.49384026788, 1480.0674049443037, 1573.9382410451349, 1386.1965688434725, , , , extracted 2025-09-29, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
