experiment, date, instrument, operator, firmware, software, block_cycles, run_minutes, edit_delay, bg_median.465-510, bg_median.533-580, plateau_median.465-510, plateau_median.533-580, heat_rate, cool_rate, overshoot, settling, transition.95→60 °C, transition.60→72 °C, transition.72→95 °C, transition.72→40 °C, hold_temp.mean, hold_temp.sd, hold_temp.n, lamp_ref.465-510, lamp_ref.533-580, lamp_drift.465-510, lamp_drift.533-580, exposure.465-510, exposure.533-580, chan_switch, cycle_sd, invalid_acq.bad, invalid_acq.n, templog_late.bad, templog_late.n, pc_amplitude.35S | DEMO-CRM, pc_amplitude.T-NOS | DEMO-CRM, pc_amplitude.HMG | DEMO-CRM, pc_cq.35S | DEMO-CRM, pc_cq.T-NOS | DEMO-CRM, pc_cq.HMG | DEMO-CRM, pc_batch.35S | DEMO-CRM, pc_batch.T-NOS | DEMO-CRM, pc_batch.HMG | DEMO-CRM, ntc_rate.bad, ntc_rate.n, action_rate.bad, action_rate.n, late_rate.bad, late_rate.n, call_disagree.bad, call_disagree.n, rep_sd, rowcol, manual_rate.bad, manual_rate.n, copied.count, findings.count
DEMO_LC1_HIST_0011, 2024-02-22 12:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 97.45715522877784, 1.1622754655089431, 1880.9658696937274, 1265.2987781519023, 2825.775614852108, 1571.0136241998125, 4.86618, 2.47854, 5.32, 4.95, 15.29572681999864, 2.415176681755875, 4.899226485195765, 16.91412989557007, -0.5104279756371104, 0.03694609883997969, 45, 7065, 20846, 0.4589979929799967, -3.940049725841431, 218, 173, 1047, 47.26355438577411, 0, 90, 27, 12666, 1729.6841515680776, 1492.5278708307112, 1812.9451585358877, 33.529717647746814, 31.38158221801195, 23.23397285291442, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 4, 12, 0.43391034543067275, 0.3954746510808185, 0, 60, 0, 86
DEMO_LC1_HIST_0012, 2024-02-26 10:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.6289517232966, 0.034790310087926546, 1678.0324876539019, 1383.4931066398767, 2202.1167660401566, 1315.6671901514237, 4.88436, 2.4543, 5.24, 4.95, 15.290945043859773, 2.412315138040834, 4.900653342887944, 16.991083019167643, -0.5157701834903125, 0.029031632368509194, 45, 7080, 20845, 0.43945411083024244, -3.3840396365204617, 209, 150, 1047, 66.04850937763405, 1, 90, 29, 12624, 1618.0485870805335, 1431.1580127800667, 1506.2617800175535, 32.79708778953601, 31.10637422513572, 23.169179502081636, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 2, 14, 0.16605638423008068, 0.483378618995371, 0, 60, 0, 113
DEMO_LC1_HIST_0013, 2024-03-01 14:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.56133069307886, 0.17727249432799846, 1495.578081071613, 1228.6806387539825, 2817.5382265543103, 1254.2012569408678, 4.86012, 2.4361200000000003, 5.23, 4.95, 15.276232356077458, 2.413454792391121, 4.900975580213876, 16.943867111273804, -0.5019475848969577, 0.029915243861516075, 45, 7084, 20678, 0.18484158301184284, -3.067322444920496, 239, 121, 1051, 35.6779656962582, 0, 90, 24, 12702, 1512.8217477019728, 1411.4873253485498, 1559.3739856304658, 33.16594481707249, 31.81064620944168, 23.361423881496943, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 4, 12, 0.09189974158835243, 0.21936705562414827, 0, 60, 1, 78
DEMO_LC1_HIST_0014, 2024-03-10 14:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.46976343456221, -0.5888921553812528, 1814.2264662134749, 1207.6760928784952, 2902.7568177476187, 1548.7854503004667, 4.86618, 2.47854, 5.28, 4.95, 15.245800778319971, 2.423987349607227, 4.91415425657498, 16.635151983274792, -0.4976320631450893, 0.028192072736245993, 45, 7084, 20782, 0.26685711096951437, -2.9066215962263846, 224, 117, 1051, 46.21475171069077, 0, 90, 26, 12669, 1549.3151390564553, 1591.3083554859013, 1421.56854001444, 33.13078289107547, 31.430089966856958, 23.63870593227943, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 1, 24, 10, 14, 0.12893072585983967, 0.2974510504143867, 0, 60, 0, 101
DEMO_LC1_HIST_0015, 2024-03-14 11:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.67260373799216, 0.2369931847860609, 1595.3272770291705, 1396.980961558497, 2188.6228264659753, 1523.000306856141, 4.86012, 2.49066, 5.26, 4.95, 15.284536019276713, 2.417356718077178, 4.889955999191885, 16.46752674498068, -0.5017641033634305, 0.035185780804408526, 45, 7074, 20829, 0.3223779889268222, -3.322850478577537, 260, 114, 1051, 42.11194484219272, 0, 90, 15, 12702, 1490.8228538389603, 1537.8876060592186, 1634.0253038768712, 33.071478650876145, 31.780575463923675, 22.9891599767782, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 8, 14, 0.16979434422598885, 0.8669395055343807, 0, 60, 1, 99
DEMO_LC1_HIST_0016, 2024-03-15 14:30, LC · LC-DEMO-01, operator-81023fd5, HTC_VER_10, LCS480 1.5.1.62, , 97.48313028173011, -1.1057086695398393, 1822.6751336983386, 1198.4608111953557, 2865.105342093803, 1341.1723024721998, 4.872240000000001, 2.4361200000000003, 5.14, 4.95, 15.315889328982783, 2.4163845822456174, 4.88960958950112, 16.45526798225215, -0.4949672372866569, 0.032584316846100685, 45, 7068, 20960, 0.24945846814470393, -3.302078058208452, 235, 133, 1050, 31.28495699053188, 1, 90, 15, 12666, 1565.96125230997, 1667.561650226774, 1560.816529794861, 33.27338440196049, 30.127539036828527, 23.029241671130457, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 8, 12, 0.11428719833660293, 0.39322444470538653, 0, 60, 0, 79
DEMO_LC1_HIST_0017, 2024-03-18 11:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.65521953216619, -0.03620506916797871, 1147.9582668847966, 1033.8011599255976, 2451.899297491035, 735.2074468578471, 4.872240000000001, 2.4543, 5.3, 4.95, 15.298470253943371, 2.418444818077746, 4.872791567075825, 16.93197000406815, -0.5103851358013242, 0.023555603536137535, 45, 7079, 21058, 0.5660035355747981, -3.471369014007083, 261, 136, 1047, 45.8617437329471, 0, 90, 29, 12702, 1699.5929814279627, 1525.7938673783317, 1588.0245297314727, 32.76959538113788, 31.222681891962083, 23.242036645973943, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 1, 24, 10, 14, 0.1000080158655274, 0.8662745145808943, 0, 60, 0, 98
DEMO_LC1_HIST_0018, 2024-03-20 10:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.48003230443993, 0.549408202062221, 1649.8640662764872, 1455.4004564207557, 2298.024532947273, 1311.9812786477191, 4.86618, 2.4361200000000003, 5.19, 4.95, 15.30170257909169, 2.413243046113346, 4.919118389506463, 16.676167543222178, -0.5134719304989418, 0.02984857649910131, 45, 7085, 21033, 0.5099817324573276, -3.852770513198483, 267, 100, 1045, 35.96813746506594, 0, 90, 26, 12670, 1456.6096304820176, 1480.109498283806, 1488.7526735329914, 32.726771891940835, 31.32356923135319, 23.03564063213314, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1, 6, 0, 12, 0, 24, 3, 12, 0.14898766121903234, 0.5364720980809092, 0, 60, 0, 91
DEMO_LC1_HIST_0019, 2024-03-23 10:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.49792231723542, 0.16711771783068674, 1686.202330349579, 773.5138018125372, 2444.9300744928114, 1320.6011694409067, 4.890420000000001, 2.53308, 5.18, 4.95, 15.323969533525442, 2.412949136733858, 4.934574706202694, 16.86400524919235, -0.49754199390465337, 0.025857589325853032, 45, 7054, 20839, 0.36911571905942264, -2.787578256100117, 248, 131, 1051, 41.58932669204513, 0, 90, 24, 12669, 1385.2784218560137, 1350.277879605492, 1504.0443743838084, 33.563583391871866, 31.03588740678025, 22.883332236231517, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 8, 14, 0.21500388388213565, 0.2962027412988729, 0, 60, 0, 129
DEMO_LC1_HIST_0020, 2024-03-26 15:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.52876530142996, 1.1014271411714711, 1759.1012293536066, 1643.1688393608783, 2573.234625370416, 1482.870669255453, 4.9086, 2.4846, 5.2700000000000005, 4.54, 15.314767433390172, 2.417485477268172, 4.917661002909664, 17.112457120120876, -0.4929839976823352, 0.03751418220665094, 45, 7057, 20989, 0.18529684576621736, -2.9883748946822957, 242, 136, 1046, 42.1334371133177, 0, 90, 31, 12666, 1459.7626665344715, 1724.3393830331704, 1606.7807000848707, 32.9357612555819, 31.424403340772482, 23.032479984199092, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 6, 14, 0.19943187874923116, 0.3307026876092695, 0, 60, 0, 84
DEMO_LC1_HIST_0021, 2024-04-02 16:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.51194533673915, -0.3779153638421087, 1185.2944590357883, 912.6842229893754, 2467.0868462820317, 1246.7970170511983, 4.89648, 2.46036, 5.22, 4.95, 15.315013705526107, 2.4210846977053717, 4.901258114217273, 16.621029327250103, -0.5064499181457778, 0.024180703052191235, 45, 7065, 20648, 0.6272158746102687, -2.511859954121062, 300, 129, 1045, 37.59376826068143, 0, 90, 23, 12624, 1604.6656378800824, 1481.244219288204, 1424.4695689541256, 32.89219378325677, 31.473327435445825, 22.84102663297119, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 6, 16, 0.210292753416791, 0.2315396195202079, 0, 60, 1, 107
DEMO_LC1_HIST_0022, 2024-04-03 11:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.47411479596884, 1.2069334492978787, 1572.1001940704052, 1452.0695574895135, 2532.002890937671, 1822.039507853128, 4.8783, 2.4361200000000003, 5.2700000000000005, 4.95, 15.375347484359459, 2.405237840494851, 4.920355133239613, 16.825006452167578, -0.5038619932098151, 0.03481163840210007, 45, 7070, 20762, 0.412334732175887, -3.3803333387383865, 247, 112, 1048, 24.20659468616123, 0, 90, 31, 12623, 1568.5693518566611, 1507.9230172715015, 1511.0966927830798, 32.97781709644226, 30.15636358542842, 23.276483985650824, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 3, 10, 0.1793942380868733, 0.30541019559720106, 0, 60, 0, 85
DEMO_LC1_HIST_0023, 2024-04-17 12:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.5180551207048, 0.5515599825737698, 1368.7145374732318, 1082.874413702244, 2265.347862892203, 1260.2891380280712, 4.88436, 2.424, 5.3100000000000005, 4.95, 15.339062095761552, 2.4162917040392156, 4.92302511981654, 16.67980741435994, -0.4881280974253385, 0.039935248312691476, 45, 7064, 20821, 0.5173313413917936, -3.9235657436286964, 249, 81, 1046, 33.09023278409446, 0, 90, 22, 12670, 1702.0997808200677, 1321.23795386533, 1473.1880247076915, 33.44599392581124, 30.782559637044194, 23.25166913721016, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1, 6, 2, 12, 0, 24, 8, 14, 0.28267533200257766, 0.44563322297118296, 0, 60, 0, 85
DEMO_LC1_HIST_0024, 2024-05-06 11:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.60890510323587, 0.27260852339506275, 1335.299764484125, 1469.1566470237933, 2583.2765323729595, 986.2920148491122, 4.88436, 2.4361200000000003, 5.34, 4.95, 15.39234428070171, 2.4130254489170007, 4.957537753497789, 16.664011534133905, -0.4987112536620116, 0.031092151868045082, 45, 7078, 20843, 0.10485569765088798, -2.7140177719194516, 256, 115, 1048, 36.07123993205232, 0, 90, 25, 12702, 1446.725084650472, 1427.0689542212986, 1610.5467480861823, 32.5965544063008, 31.39913853616207, 23.399852583873546, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 7, 14, 0.3629438621545448, 0.8831525576802068, 0, 60, 0, 112
DEMO_LC1_HIST_0025, 2024-05-08 11:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.59074103907939, 0.2684596296066437, 1702.7414646905142, 1918.3335911149697, 2391.2590188953395, 1414.190185014243, 4.890420000000001, 2.3937, 5.23, 4.95, 15.395578210753419, 2.4166392450215324, 4.951643642434622, 16.798141947533917, -0.5143082158655243, 0.028296923928399297, 45, 7075, 20877, 0.6309337333302097, -2.666797901758589, 256, 110, 1045, 43.89798943918298, 1, 90, 28, 12672, 1705.0150335382498, 1424.8072747407625, 1435.795145081901, 32.93329208108424, 31.18616816343683, 22.885747250099428, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 4, 16, 0.14087065328300985, 0.0670462186896019, 0, 60, 0, 110
DEMO_LC1_HIST_0026, 2024-05-14 17:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.5247092975192, 0.6041564024711363, 1507.0156448976215, 1419.1565382009044, 2823.6350108641873, 1247.4296065634096, 4.89648, 2.3755200000000003, 5.3100000000000005, 4.95, 15.431259690045067, 2.4149650541900156, 4.957294855029702, 16.763644585537843, -0.4913401145255671, 0.028210125657999026, 45, 7054, 20779, 0.3253581757210698, -2.750714128419622, 264, 152, 1047, 51.738810060966415, 0, 90, 28, 12670, 1439.2014085777603, 1400.5418423700446, 1615.4617091320354, 32.878510929450556, 31.53974265226016, 22.685093655555118, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 2, 12, 0, 24, 5, 14, 0.19185048284861558, 0.9119920555027695, 0, 60, 0, 86
DEMO_LC1_HIST_0027, 2024-05-20 13:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.57662187607666, 0.09841042811568353, 1830.558354138098, 1537.770918850295, 2743.6410362283395, 1773.5517653172187, 4.90254, 2.3937, 5.23, 4.95, 15.445798683051088, 2.411544111213842, 4.961595506308505, 16.900557405282157, -0.5062350643751469, 0.028689292020544144, 45, 7044, 20717, 0.4367230635651857, -3.7714682972513622, 224, 138, 1048, 36.490335322085706, 0, 90, 33, 12669, 1315.327854686806, 1451.0054820334758, 1642.6176734030073, 32.61355020250843, 31.202250986659475, 22.506901250376075, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 3, 6, 1, 12, 0, 24, 13, 22, 0.1375442239697001, 0.38147216186358607, 0, 60, 0, 95
DEMO_LC1_HIST_0028, 2024-05-26 11:30, LC · LC-DEMO-01, operator-96fc0cae, HTC_VER_10, LCS480 1.5.1.62, , 97.51308266941297, 0.13182284366468905, 1855.7083035531468, 1882.7032752659866, 2276.6352947267387, 1028.2385005525502, 4.89648, 2.44824, 5.23, 4.95, 15.408537079216389, 2.4203776323853248, 4.934185520940724, 16.948443772675034, -0.4902945995552105, 0.03938863408961572, 45, 7064, 20636, 0.2947630025474224, -3.0070199522288923, 250, 92, 1048, 56.64091331448884, 0, 90, 41, 12624, 1551.0718529910264, 1661.814009381864, 1440.825928091319, 32.99601478135057, 31.244441385194786, 23.083895351436706, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 1, 12, 0, 24, 0, 8, 0.15592639127970137, 0.8757316304109566, 0, 60, 0, 88
DEMO_LC1_HIST_0029, 2024-06-10 15:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.57078772762519, -0.4717771871102064, 1780.4126476586034, 1481.302176366235, 2852.9557680353464, 993.0195223736436, 4.90254, 2.3452200000000003, 5.2700000000000005, 4.95, 15.448387451865708, 2.4126821975960313, 4.948548749788749, 16.68342227286024, -0.5088294318139144, 0.03375147628582896, 45, 7049, 20968, 0.7216348549547474, -2.682484934671909, 244, 170, 1042, 38.66946814727562, 0, 90, 18, 12647, 1563.6145610975418, 1442.45892980164, 1493.9589126637297, 32.830151670595015, 31.381748182233714, 22.580905926744148, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 1, 6, 0, 12, 0, 24, 4, 10, 0.18615114551989612, 0.782739989655734, 0, 60, 0, 96
DEMO_LC1_HIST_0030, 2024-06-12 12:30, LC · LC-DEMO-01, operator-538c64e4, HTC_VER_10, LCS480 1.5.1.62, , 97.5545806032456, 0.5967227252954523, 1659.3982656641276, 1583.5017938654194, 2630.7461759354405, 1190.6216219679973, 4.8783, 2.39976, 5.25, 4.95, 15.454469670390951, 2.420055865369487, 4.960730605567537, 17.01394223950876, -0.48332495580353685, 0.0379227986247214, 45, 7036, 20596, 0.5074617896768711, -2.9060996212709918, 218, 162, 1051, 39.79651423114384, 0, 90, 29, 12670, 1664.173044806693, 1313.4571561908406, 1368.1342280842994, 33.31091216041664, 31.575875159995633, 23.264340871998943, extracted 2023-11-20, extracted 2023-11-20, extracted 2023-11-20, 0, 6, 0, 12, 0, 24, 6, 14, 0.15193473568053126, 0.4439432980732232, 0, 60, 0, 87
