code, chart, group, variant, runs, status, detail, latest, unit, alarms, chart_type, file
B-H12, Saturated well images, hardware, , 90, in control, in control, 0.0026041666666666665, share of well images, 0, p, B-H12_saturation.svg
B-H13, Uniformity calibration: edge-to-centre ratio, hardware, , 90, in control, in control, 1.1610909081263796, edge / centre, 0, i, B-H13_calib_uniformity.svg
B-H14b, Filter-wheel moves slower than 500 ms, hardware, , 90, in control, in control, 0.003125, share of moves, 0, p, B-H14b_wheel_slow.svg
B-H15, Filter-wheel position offset, hardware, emission, 90, in control, in control, 0, encoder counts, 0, i, B-H15_encoder_emission.svg
B-H15, Filter-wheel position offset, hardware, excitation, 90, in control, in control, 0, encoder counts, 0, i, B-H15_encoder_excitation.svg
B-H16, Camera readout time beyond the exposure, hardware, , 90, in control, in control, 470.7680813718039, ms, 0, xbars, B-H16_cam_overhead.svg
B-H18, Heated cover lowering time, hardware, , 90, in control, in control, 10.056300398582865, s, 2, trend, B-H18_cover_down.svg
B-H18b, Heated cover raising time, hardware, , 90, in control, in control, 5.293641614258303, s, 5, i, B-H18b_cover_up.svg
B-H2, Peak cooling rate (2-s window), hardware, , 90, in control, in control, 2.8101092522055766, °C/s, 0, trend, B-H2_cool_rate.svg
B-H3c, Transition time A → B °C, hardware, 95→60 °C, 90, in control, in control, 11.962028767621327, s, 0, i, B-H3c_transition_95-to-60.svg
B-H3c, Transition time A → B °C, hardware, 60→95 °C, 90, in control, in control, 12.104274953736702, s, 0, i, B-H3c_transition_60-to-95.svg
B-H6, Heat-sink maximum, hardware, , 90, in control, in control, 41.53167279001806, °C, 3, i, B-H6_heatsink_max.svg
B-H6b, Heated cover temperature, hardware, , 90, in control, in control, 105.05134029193957, °C, 2, i, B-H6b_cover_temp.svg
B-M10, Late signal / stochastic-zone results, method, , 90, in control, in control, 0, share of results, 3, p, B-M10_late_rate.svg
B-M2, Passive reference (ROX) level, method, , 90, in control, in control, 175639.98052411154, passive reference, 0, i, B-M2_rox_level.svg
B-O1, "Replicate precision (pooled SD,  Cq < 30)", operator, , 90, in control, in control, 0.11731947299275311, Cq SD, 3, i, B-O1_rep_sd.svg
B-O11, Copied-data events, operator, , 90, in control, in control, 0, events, 0, c, B-O11_copied.svg
B-O3, Row / column pattern, operator, , 90, in control, in control, 0.07952384967216125, Cq, 5, i, B-O3_rowcol.svg
B-O6, Repeat / inconclusive / invalid rate by operator (funnel), operator, , 90, in control, all operators within limits, , share of results, 0, funnel, B-O6_action_op.svg
B-O7, Manual interventions, operator, , 90, in control, in control, 0, share of settings, 2, p, B-O7_manual_rate.svg
B-O9, Stored calls that disagree with the SOP, operator, , 90, in control, in control, 0, share of wells, 0, p, B-O9_call_disagree.svg
B-S12, Stored Ct not reproducible (> 0.2), software, , 90, in control, in control, 0, share of wells, 1, p, B-S12_ct_mismatch.svg
B-S2, Once-per-second timer lateness, software, , 90, in control, in control, 34.631764427405045, ms (95th pct), 2, i, B-S2_tick_late.svg
B-S2b, Scheduler falling behind, software, , 90, in control, in control, 480.6723222872616, events per run hour, 0, u, B-S2b_catch_up.svg
B-S3, Image → processing delay, software, , 90, in control, in control, 7687.669210028082, ms (95th pct), 2, i, B-S3_img_proc.svg
B-S5, Run-time prediction error, software, , 90, in control, in control, 8.428002900897667, %, 4, i, B-S5_runtime_err.svg
B-S6, Data hand-off time, software, , 90, in control, in control, 10064.351141376934, minutes, 17, i, B-S6_handoff_min.svg
A-M1, Positive control Cq (Levey-Jennings), method, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , Cq, 0, i, A-M1_pc_cq.svg
B-H3, Overshoot at the denaturation step, hardware, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , °C, 0, cusum, B-H3_overshoot.svg
B-H3b, Settling time at the denaturation step, hardware, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , s, 0, i, B-H3b_settling.svg
B-H4, Temperature at the moment of reading, hardware, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , °C from setpoint, 0, xbars, B-H4_hold_temp.svg
B-M1, Probe signal strength (positive control), method, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , fluorescence, 0, ewma, B-M1_pc_amplitude.svg
B-M3, PCR efficiency from the standards, method, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , % efficiency, 0, trend, B-M3_efficiency.svg
B-M5, Negative controls by process stage, method, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , share of NTC wells, 0, p, B-M5_ntc_rate.svg
B-M6, IC shift from fixed reference, method, , 0, not enough data, requires a fixed IC reference Cq and matching IC target, , cycles, 0, ewma, B-M6_ic_shift.svg
B-O5, Contamination rate by operator (funnel), operator, , 0, not enough data, needs two or more operators, , share of NTC wells, 0, funnel, B-O5_ntc_op.svg
B-S4, Image analysis time, software, , 0, not enough data, no eligible measurements — check role mapping and assay applicability, , ms, 0, i, B-S4_roi_ms.svg
